IPA; iÉ™k; Ä©; ai; aÄ©; au; am; É”m; mÌ©; É”Å‹; Å‹Ì�; u; ua; ue; uai; uan; É¨; (i)Å©
PeÌ�h-Å�e-jÄ«; ek; iâ�¿; ai; aiâ�¿; au; am; om; m; ong; ng; u; oa; oe; oai; oan; i; (i)uâ�¿
Revised TLPA; ik; iN; ai; aiN; au; am; om; m; ong; ng; u; ua; ue; uai; uan; ir; (i)uN
TLPA; ik; inn; ai; ainn; au; am; om; m; ong; ng; u; ua; ue; uai; uan; ir; (i)unn
BP; ik; ni; ai; nai; au; am; om; m; ong; ng; u; ua; ue; uai; uan; i; n(i)u
MLT; eg/ek; vi; ai; vai; au; am; om; m; ong; ng; u; oa; oe; oai; oan; i; v(i)u
DT; ik; inn/iâ�¿; ai; ainn/aiâ�¿; au; am; om; m; ong; ng; u; ua; ue; uai; uan; i; (i)unn/uâ�¿
Taiwanese kana; ã‚¤ã‚§ã‡°; ã‚¤ã‚¤; ã‚¢ã‚¤; ã‚¢ã‚¤; ã‚¢ã‚¦; ã‚¢ãƒ ; ã‚ªãƒ ; ãƒ ; ã‚ªãƒ³; ãƒ³; ã‚¦ã‚¦; ãƒ²ã‚¢; ãƒ²ã‚¨; ãƒ²ã‚¡ã‚¤; ãƒ²ã‚¡ãƒŒ; ã‚¦ã‚¦; ã‚¦ã‚¦
Extended bopomofo; ã„§ã†¶; ã†ª; ã„ž; ã†®; ã†¯; ã†°; ã†±; ã†¬; ã†²; ã†­; ã„¨; ã„¨ã„š; ã„¨ã†¤; ã„¨ã„ž; ã„¨ã„¢; ã†¨; ã†«
TÃ¢i-lÃ´; ik; inn; ai; ainn; au; am; om; m; ong; ng; u; ua; ue; uai; uan; ir; (i)unn
Example (traditional Chinese); ç¿» è­¯; ç—… é™¢; æ„› æƒ…; ; æ­� æ´²; æš— æ™‚; ; é˜¿ å§†; çŽ‹ æ¢¨; é»ƒ è‰²; æœ‰ ç„¡; æ­Œ æ›²; è¬› è©±; å¥‡ æ€ª; äºº å“¡; è±¬ è‚‰; èˆ€ æ°´
Example (simplified Chinese); ç¿» è¯‘; ç—… é™¢; çˆ± æƒ…; ; æ¬§ æ´²; æš— æ—¶; ; é˜¿ å§†; çŽ‹ æ¢¨; é»„ è‰²; æœ‰ æ— ; æ­Œ æ›²; è®² è¯�; å¥‡ æ€ª; äºº å‘˜; çŒª è‚‰; èˆ€ æ°´
